Nome da Notícia,Link da Matéria
Espírito Santo fecha acordo com AGU para recuperar R$ 1 bi em royalties de petróleo,https://www.cnnbrasil.com.br/economia/espirito-santo-fecha-acordo-com-agu-para-recuperar-r-1-bi-em-royalties-de-petroleo/
Desenrola: dívidas podem ser negociadas pelos Correios,https://www.cnnbrasil.com.br/economia/financas/desenrola-dividas-podem-ser-negociadas-pelos-correios/
"Pedidos de recuperação judicial para produtores rurais cresceram 535% em 2023, diz Serasa",https://www.cnnbrasil.com.br/economia/negocios/pedidos-de-recuperacao-judicial-para-produtores-rurais-cresceram-535-em-2023-diz-serasa/
Produção de veículos salta mais de 24% em fevereiro ante janeiro,https://www.cnnbrasil.com.br/economia/macroeconomia/producao-de-veiculos-salta-mais-de-20-em-fevereiro-ante-janeiro/
Exportações da China superam previsões com retorno de demanda global,https://www.cnnbrasil.com.br/economia/macroeconomia/exportacoes-da-china-superam-previsoes-com-retorno-de-demanda-global/
Veja mais em Economia,https://www.cnnbrasil.com.br/economia/
Astrologia: quem nasce em ano bissexto tem qual tipo de personalidade?,https://www.cnnbrasil.com.br/lifestyle/astrologia-quem-nasce-em-ano-bissexto-tem-qual-tipo-de-personalidade/
Como designers estão mudando o conceito de vaso sanitário ao redor do mundo,https://www.cnnbrasil.com.br/lifestyle/como-designers-estao-mudando-o-conceito-de-vaso-sanitario-ao-redor-do-mundo/
Grandpacore: veja a tendência que te convida a se vestir como um vovô ou vovó,https://www.cnnbrasil.com.br/lifestyle/grandpacore-veja-a-tendencia-que-te-convida-a-se-vestir-como-um-vovo-ou-vovo/
Estátua do deus Apolo de três séculos retorna ao jardim de Versalhes após um ano,https://www.cnnbrasil.com.br/lifestyle/estatua-do-deus-apolo-de-tres-seculos-retorna-ao-jardim-de-versalhes-apos-um-ano/
Veja mais em CNN Brands,https://www.cnnbrasil.com.br
Viagem & Gastronomia,https://www.cnnbrasil.com.br/viagemegastronomia/
"Cenários de ""Duna: Parte 2"" vão de cemitério na Itália a desertos no Oriente Médio",https://www.cnnbrasil.com.br/viagemegastronomia/cultura/cenarios-de-duna-parte-2-vao-de-cemiterio-na-italia-a-desertos-no-oriente-medio/
"Rodrigo Castelo, do Ó Balcão, fala sobre primeira estrela Michelin em Portugal",https://www.cnnbrasil.com.br/viagemegastronomia/gastronomia/rodrigo-castelo-do-o-balcao-fala-sobre-primeira-estrela-michelin-em-portugal/
Oscar 2024: conheça os cenários dos principais filmes indicados à premiação,https://www.cnnbrasil.com.br/viagemegastronomia/cultura/oscar-2024-conheca-os-cenarios-dos-principais-filmes-indicados-a-premiacao/
